id,category,question,image,A,B,C,D,answerIndex,answerText,explanation,reference,difficulty,tags
76,traffic-signs-control,在大雪期间“雪季危险街道”标志的意义何在?,,只有负有紧急任务的车辆才能在此街道行驶,一切车辆需要装置链条或防雪轮胎才能行驶的街道,只有警车可行驶的街道,在雪铲清以前一切车辆不准在此街道行驶,1,一切车辆需要装置链条或防雪轮胎才能行驶的街道,正确答案是“一切车辆需要装置链条或防雪轮胎才能行驶的街道”。交通标志、信号灯和路面标线用于控制或提醒交通，驾驶时必须提前观察并按规定操作。,NY DMV Driver’s Manual（知识点参考）,easy,traffic-signs-control
77,defensive-driving,"在纽约除较高较低的速度别有告示外,最高速度限制为多少?",,每小时60里,每小时45里,每小时55里,每小时65里,2,每小时55里,正确答案是“每小时55里”。安全驾驶题通常强调防卫驾驶、提前观察、减速和保留安全空间。,NY DMV Driver’s Manual（知识点参考）,medium,defensive-driving
78,traffic-signs-control,"当你驶近交叉路口,交通灯由绿色转成黄色,你该如何?",,"红灯快亮了,准备停车","在红灯亮前,加快速度通过交叉路口",立刻停止,停在交叉路口中间等候绿灯,0,"红灯快亮了,准备停车","正确答案是“红灯快亮了,准备停车”。交通标志、信号灯和路面标线用于控制或提醒交通，驾驶时必须提前观察并按规定操作。",NY DMV Driver’s Manual（知识点参考）,easy,traffic-signs-control
79,right-of-way-turns,"在你转弯前,离开多少呎就应该打讯号灯?",,最少二百呎,最少一百呎,最少三百呎,最少五百呎,1,最少一百呎,正确答案是“最少一百呎”。路口、转弯和让行题的核心是减速、观察、让有优先权的车辆或行人先行。,NY DMV Driver’s Manual（知识点参考）,medium,right-of-way-turns
80,traffic-signs-control,"公路中央有条白色单线,意义如何?",,只有在你超车时才能超过此线,"如果交通情况许可,你可超越此线","只有你转进私人车路,方可超线",在任何时间你都不得超线,1,"如果交通情况许可,你可超越此线","正确答案是“如果交通情况许可,你可超越此线”。交通标志、信号灯和路面标线用于控制或提醒交通，驾驶时必须提前观察并按规定操作。",NY DMV Driver’s Manual（知识点参考）,easy,traffic-signs-control
81,right-of-way-turns,"当你在交叉路口内,这时绿灯亮着,对面来的车辆很多,如果你想左转弯,则要如何?",,"一直行驶,到另一个街口转弯",行驶路权,"停在横断步道上面,等到车辆走完时再转弯","在交叉路口中央等待,到车辆走完时再转弯",3,"在交叉路口中央等待,到车辆走完时再转弯","正确答案是“在交叉路口中央等待,到车辆走完时再转弯”。路口、转弯和让行题的核心是减速、观察、让有优先权的车辆或行人先行。",NY DMV Driver’s Manual（知识点参考）,medium,right-of-way-turns
82,special-conditions,轮胎的花纹深度最少是多少?,,最少3/32寸,最少3/10寸,最少2/32寸,最少1/32寸,2,最少2/32寸,正确答案是“最少2/32寸”。恶劣天气、夜间、打滑或车辆故障时，应减速、保持冷静，避免急刹和猛打方向。,NY DMV Driver’s Manual（知识点参考）,medium,special-conditions
83,defensive-driving,"在晚上,你如何减少对面车辆车灯射来的光度?",,看方向盘的下缘,两眼转看你的车路近处右边沿缘,戴蓝色的眼镜,"打开你车前灯的高灯,来反射对方的灯光",1,两眼转看你的车路近处右边沿缘,正确答案是“两眼转看你的车路近处右边沿缘”。安全驾驶题通常强调防卫驾驶、提前观察、减速和保留安全空间。,NY DMV Driver’s Manual（知识点参考）,medium,defensive-driving
84,lanes-highway,合并车道意义为何?,,"在交叉路口,有另一车路横切你的车路",一条车道的路和两条车道的路合并,两条车道的路合并成一条车道的路,在交叉路口所有的车辆必须向右转弯,2,两条车道的路合并成一条车道的路,正确答案是“两条车道的路合并成一条车道的路”。变道、并线和高速行驶时要提前打灯、检查盲点，并保持足够安全距离。,NY DMV Driver’s Manual（知识点参考）,medium,lanes-highway
85,defensive-driving,一个钻石图形的标记表示什么意思?,,你正行驶近铁路平交道,在横断步道前完全停止,让出路权,道路常有危险,3,道路常有危险,正确答案是“道路常有危险”。安全驾驶题通常强调防卫驾驶、提前观察、减速和保留安全空间。,NY DMV Driver’s Manual（知识点参考）,medium,defensive-driving
86,special-conditions,"行驶中,刹车板突然下沉,如何应变?",,"断续踩压刹车,让它恢复弹性",停止驾驶,"转至空档,熄灭引擎",用脚尖把刹车板挑起,0,"断续踩压刹车,让它恢复弹性","正确答案是“断续踩压刹车,让它恢复弹性”。恶劣天气、夜间、打滑或车辆故障时，应减速、保持冷静，避免急刹和猛打方向。",NY DMV Driver’s Manual（知识点参考）,medium,special-conditions
87,special-conditions,摩托车在夜间行驶应?,,前后装红色灯,前后装反光片,开车头灯,不必要开灯,1,前后装反光片,正确答案是“前后装反光片”。恶劣天气、夜间、打滑或车辆故障时，应减速、保持冷静，避免急刹和猛打方向。,NY DMV Driver’s Manual（知识点参考）,medium,special-conditions
88,parking,路滑时应如何停车?,,不用刹车转用空波,不用刹车转用低波,持续紧踏刹车,"断续轻踏刹车,以便顺利停车",3,"断续轻踏刹车,以便顺利停车","正确答案是“断续轻踏刹车,以便顺利停车”。停车题要注意消防栓、人行横道、坡道、路缘和禁止停车/停留标志。",NY DMV Driver’s Manual（知识点参考）,medium,parking
89,special-conditions,"在滑溜路面,应如何驾驶?",,"用低波行车,轻踏油门","用前进波,轻轻加油",紧握方向盘,"用前进波,加油比平时要多",0,"用低波行车,轻踏油门","正确答案是“用低波行车,轻踏油门”。恶劣天气、夜间、打滑或车辆故障时，应减速、保持冷静，避免急刹和猛打方向。",NY DMV Driver’s Manual（知识点参考）,medium,special-conditions
90,right-of-way-turns,当你行驶抵一交通被阻的交叉路口应当?,,慢慢行驶直到前面交通逐渐向前移动,"停在交叉路口外,直到你可以通过",尽量靠近其他车辆,"按喇叭,使前面的车向前开动",1,"停在交叉路口外,直到你可以通过","正确答案是“停在交叉路口外,直到你可以通过”。路口、转弯和让行题的核心是减速、观察、让有优先权的车辆或行人先行。",NY DMV Driver’s Manual（知识点参考）,medium,right-of-way-turns
91,license-law-crash,"如果驾驶执照更改地址,应十日之内通知?",,警察局,交通局,保险公司,选举部,1,交通局,正确答案是“交通局”。事故、驾照和车辆法规题应以 NY DMV 官方要求为准，按规定报告和处理。,NY DMV Driver’s Manual（知识点参考）,medium,license-law-crash
92,license-law-crash,在汽车检查法律下每辆车必需?,,每二年检查一次,每月检查一次,每一年检查一次,每季检查一次,2,每一年检查一次,正确答案是“每一年检查一次”。事故、驾照和车辆法规题应以 NY DMV 官方要求为准，按规定报告和处理。,NY DMV Driver’s Manual（知识点参考）,medium,license-law-crash
93,defensive-driving,何时须要戴安全带?,,当开长途车时,"在任何情况下,驾车者和乘客",当在高速公路上开车时,当有危险时,1,"在任何情况下,驾车者和乘客","正确答案是“在任何情况下,驾车者和乘客”。安全驾驶题通常强调防卫驾驶、提前观察、减速和保留安全空间。",NY DMV Driver’s Manual（知识点参考）,medium,defensive-driving
94,lanes-highway,"你错过高速公路出口,应当?",,开至下一个出口离开此公路,"在下一个服务站,做U型转弯","在最近的紧急转弯区,做U型转弯","将车开至路边,再倒退至公路出口",0,开至下一个出口离开此公路,正确答案是“开至下一个出口离开此公路”。变道、并线和高速行驶时要提前打灯、检查盲点，并保持足够安全距离。,NY DMV Driver’s Manual（知识点参考）,medium,lanes-highway
95,lanes-highway,"当你想超车时,应当?",,"先打灯号,当安全时再通过","尽量靠近前车,以减少超车时间",等待其他驾驶者的信号,"尽快换一车道,以使其他驾驶者看见你",0,"先打灯号,当安全时再通过","正确答案是“先打灯号,当安全时再通过”。变道、并线和高速行驶时要提前打灯、检查盲点，并保持足够安全距离。",NY DMV Driver’s Manual（知识点参考）,medium,lanes-highway
96,defensive-driving,驾车安全速度是?,,视当时的天气以及路面的情况而定,视驾驶者的技术而定,标示的限制车速,低于标示的限制车速,0,视当时的天气以及路面的情况而定,正确答案是“视当时的天气以及路面的情况而定”。安全驾驶题通常强调防卫驾驶、提前观察、减速和保留安全空间。,NY DMV Driver’s Manual（知识点参考）,medium,defensive-driving
97,lanes-highway,"当超车后,何时可以转回右线?",,当打开转弯灯后,看到其他来车的头灯,打开车头灯后,"当从倒后镜中,看见后面汽车的保险杠时",3,"当从倒后镜中,看见后面汽车的保险杠时","正确答案是“当从倒后镜中,看见后面汽车的保险杠时”。变道、并线和高速行驶时要提前打灯、检查盲点，并保持足够安全距离。",NY DMV Driver’s Manual（知识点参考）,medium,lanes-highway
98,right-of-way-turns,"当你等在交叉路口中想左转时,应当?",,"若有车子挡住,则绕其车后而过","打灯号,并将车轮打直","闪你的车头灯,以便来车让你先过","打灯号,将车轮转左",1,"打灯号,并将车轮打直","正确答案是“打灯号,并将车轮打直”。路口、转弯和让行题的核心是减速、观察、让有优先权的车辆或行人先行。",NY DMV Driver’s Manual（知识点参考）,medium,right-of-way-turns
99,right-of-way-turns,"当你已经由双向道左转至单向道,你的车应该?",,根据交通情况而决定在右线车道或左线车道,在街道的右线车道,在街道的左线车道,在两线车道之间的街道中心,2,在街道的左线车道,正确答案是“在街道的左线车道”。路口、转弯和让行题的核心是减速、观察、让有优先权的车辆或行人先行。,NY DMV Driver’s Manual（知识点参考）,medium,right-of-way-turns
100,defensive-driving,"在长途驾车时,以何种方法防止困倦?",,"开车时,眼睛不时移动向路边张望","将车速减低,可反应较好",将车的收音机打开,定时停车休息,3,定时停车休息,正确答案是“定时停车休息”。安全驾驶题通常强调防卫驾驶、提前观察、减速和保留安全空间。,NY DMV Driver’s Manual（知识点参考）,medium,defensive-driving
101,alcohol-drugs,下面那一项有关血液含量的解说是  的?,,含酒量0.05%或以上表示你的驾驶能力受到伤害,血液含酒量即是你的血液中所含酒精的比率,"血液含酒量为0.10%,即是所谓“醉”",所有的三条解说都是正确,3,所有的三条解说都是正确,正确答案是“所有的三条解说都是正确”。酒精和药物会影响判断、反应和视力，相关法规处罚很重。,NY DMV Driver’s Manual（知识点参考）,easy,alcohol-drugs
102,alcohol-drugs,"如饮一杯12 OZ.的啤酒,血液含酒量是0.02%,需要多长时间才能由你的体内排除?",,五小时,一小时,五分钟,一天,1,一小时,正确答案是“一小时”。酒精和药物会影响判断、反应和视力，相关法规处罚很重。,NY DMV Driver’s Manual（知识点参考）,easy,alcohol-drugs
103,alcohol-drugs,酒精对你的驾驶能力有多大的影响?,,"减低控制力,但不妨害判断力","饮酒太多,妨害视力","反应太快,因而妨害判断力","反应迟钝,妨害视力及判断力",3,"反应迟钝,妨害视力及判断力","正确答案是“反应迟钝,妨害视力及判断力”。酒精和药物会影响判断、反应和视力，相关法规处罚很重。",NY DMV Driver’s Manual（知识点参考）,easy,alcohol-drugs
104,alcohol-drugs,"酒醉驾车,该受何种处罚?",,驾驶执照停止使用六十天,驾驶执照停止使用三十天,"驾驶执照停止使用,重新参加考试并得合格",驾驶执照吊销,3,驾驶执照吊销,正确答案是“驾驶执照吊销”。酒精和药物会影响判断、反应和视力，相关法规处罚很重。,NY DMV Driver’s Manual（知识点参考）,easy,alcohol-drugs
105,alcohol-drugs,身体内负责氧化(排除)酒精的器官是?,,脑部,胰脏,肾脏,肝脏,3,肝脏,正确答案是“肝脏”。酒精和药物会影响判断、反应和视力，相关法规处罚很重。,NY DMV Driver’s Manual（知识点参考）,easy,alcohol-drugs
106,alcohol-drugs,"减低血液含酒量或使酒醉的人清醒,最有效的方法?",,冲冷水浴,喝热茶或咖啡,睡觉及长时间休息,出外运动呼吸新鲜的空气,2,睡觉及长时间休息,正确答案是“睡觉及长时间休息”。酒精和药物会影响判断、反应和视力，相关法规处罚很重。,NY DMV Driver’s Manual（知识点参考）,easy,alcohol-drugs
107,alcohol-drugs,“呼吸分析器”是用来?,,测量人体内血液中的含酒量的工具,使醉昏的人复醒的“人工呼吸器”,一种吸食大麻的违法器具,上述各点皆不是,0,测量人体内血液中的含酒量的工具,正确答案是“测量人体内血液中的含酒量的工具”。酒精和药物会影响判断、反应和视力，相关法规处罚很重。,NY DMV Driver’s Manual（知识点参考）,easy,alcohol-drugs
108,alcohol-drugs,因醉酒引起的交通意外死亡率占?,,50%,20%,90%,30%,0,50%,正确答案是“50%”。酒精和药物会影响判断、反应和视力，相关法规处罚很重。,NY DMV Driver’s Manual（知识点参考）,easy,alcohol-drugs
109,alcohol-drugs,如何可以减慢人体吸收酒精的速率?,,"先饮酒,后进食","先进食,后饮酒",运用“两秒钟规则”,上述各点都不是,1,"先进食,后饮酒","正确答案是“先进食,后饮酒”。酒精和药物会影响判断、反应和视力，相关法规处罚很重。",NY DMV Driver’s Manual（知识点参考）,easy,alcohol-drugs
110,defensive-driving,"驾驶能力受“损伤”和“醉”的法律规定,是根据人体的?",,对酒精的忍受力,血液中酒精含量的比率,血液中对酒精的容忍量,上述各点都不是,1,血液中酒精含量的比率,正确答案是“血液中酒精含量的比率”。安全驾驶题通常强调防卫驾驶、提前观察、减速和保留安全空间。,NY DMV Driver’s Manual（知识点参考）,medium,defensive-driving
111,alcohol-drugs,"赴宴喝酒后,如何保证行车安全?",,开车前半小时不喝酒,开车前先喝咖啡,开车前先冲个冷水浴,坐没饮酒的朋友车回家,3,坐没饮酒的朋友车回家,正确答案是“坐没饮酒的朋友车回家”。酒精和药物会影响判断、反应和视力，相关法规处罚很重。,NY DMV Driver’s Manual（知识点参考）,easy,alcohol-drugs
112,alcohol-drugs,一位司机因病服药应?,,在驾车前读药物的说明,只在白天驾驶,改为喝酒,断续驾驶,0,在驾车前读药物的说明,正确答案是“在驾车前读药物的说明”。酒精和药物会影响判断、反应和视力，相关法规处罚很重。,NY DMV Driver’s Manual（知识点参考）,easy,alcohol-drugs
113,alcohol-drugs,下面那一样在喝酒后不会发生?,,你对速度和距离的判断力不正确,你的反应迟钝下来,你会镇静而集中注意力,你比较不机警敏捷,2,你会镇静而集中注意力,正确答案是“你会镇静而集中注意力”。酒精和药物会影响判断、反应和视力，相关法规处罚很重。,NY DMV Driver’s Manual（知识点参考）,easy,alcohol-drugs
114,alcohol-drugs,如果你拒绝接受化学测验(呼吸或血液)?,,你不会因酒醉驾驶而逮捕,则无法找到你醉酒驾驶有罪的证据,你的驾照将被取消,三种说法都不正确,2,你的驾照将被取消,正确答案是“你的驾照将被取消”。酒精和药物会影响判断、反应和视力，相关法规处罚很重。,NY DMV Driver’s Manual（知识点参考）,easy,alcohol-drugs
115,alcohol-drugs,酒精对你的驾驶技术及判断力有何影响?,,对两者皆无影响,对两者有坏的影响,"对判断力没有影响,但影响驾驶技术","对驾驶技术帮助,但影响判断力",1,对两者有坏的影响,正确答案是“对两者有坏的影响”。酒精和药物会影响判断、反应和视力，相关法规处罚很重。,NY DMV Driver’s Manual（知识点参考）,easy,alcohol-drugs
116,alcohol-drugs,酒精的效力受下列何种因素的影响?,,每个人的体重,"喝每杯酒之间,休息时间的多少",胃中存留食物的多少,以上三种皆有,3,以上三种皆有,正确答案是“以上三种皆有”。酒精和药物会影响判断、反应和视力，相关法规处罚很重。,NY DMV Driver’s Manual（知识点参考）,easy,alcohol-drugs
117,alcohol-drugs,血液含酒精量多数取决于你的饮酒量及?,,喝酒后你的运动量,你的年纪,你的体重,饮酒前进食的多少,2,你的体重,正确答案是“你的体重”。酒精和药物会影响判断、反应和视力，相关法规处罚很重。,NY DMV Driver’s Manual（知识点参考）,easy,alcohol-drugs
118,alcohol-drugs,酒精以及药物同时在你血液中会产生何种后果?,,减轻酒精的反应,对驾驶能力不生影响,减轻药物的反应,增强二者的反应,3,增强二者的反应,正确答案是“增强二者的反应”。酒精和药物会影响判断、反应和视力，相关法规处罚很重。,NY DMV Driver’s Manual（知识点参考）,easy,alcohol-drugs
119,alcohol-drugs,"一杯12 OZ的啤酒,1 OZ的80纯度的烈酒,4 OZ 24纯度的香槟酒,那一种含酒精量高?",,烈酒含酒精量最多,三者一样多,香槟酒含酒精量最少,啤酒含酒精量最少,1,三者一样多,正确答案是“三者一样多”。酒精和药物会影响判断、反应和视力，相关法规处罚很重。,NY DMV Driver’s Manual（知识点参考）,easy,alcohol-drugs
120,alcohol-drugs,烈酒对什么有影响?,,所有以下三种情况,反应的时间,对距离的判断,对车头灯照射后的视力恢复,0,所有以下三种情况,正确答案是“所有以下三种情况”。酒精和药物会影响判断、反应和视力，相关法规处罚很重。,NY DMV Driver’s Manual（知识点参考）,easy,alcohol-drugs
121,alcohol-drugs,醉酒或吃药后驾驶会有何种后果?,,罚款,坐监,三者皆会,吊销驾照,2,三者皆会,正确答案是“三者皆会”。酒精和药物会影响判断、反应和视力，相关法规处罚很重。,NY DMV Driver’s Manual（知识点参考）,easy,alcohol-drugs
122,alcohol-drugs,所谓化学测试是用来测量?,,血液中的含酒量,驾驶能力,视力,反应时间,0,血液中的含酒量,正确答案是“血液中的含酒量”。酒精和药物会影响判断、反应和视力，相关法规处罚很重。,NY DMV Driver’s Manual（知识点参考）,easy,alcohol-drugs
123,alcohol-drugs,饮醉酒驾车的人是?,,每一个驾驶者的麻烦,在纽约州无此问题,只属警察强制性的问题,只属于那些喝了酒的人的麻烦,0,每一个驾驶者的麻烦,正确答案是“每一个驾驶者的麻烦”。酒精和药物会影响判断、反应和视力，相关法规处罚很重。,NY DMV Driver’s Manual（知识点参考）,easy,alcohol-drugs
124,alcohol-drugs,那一项对血液含酒量的解说是不正确的?,,判定一个人醉酒并不一定需要做BAC的化学测验,一个人的血液含酒量并不会因体能运动而减低,"喝酒后,呼吸新鲜空气,喝咖啡或进食会减低血液中的含酒量",“呼吸分析器”是用来测验一个人的血液含酒量,2,"喝酒后,呼吸新鲜空气,喝咖啡或进食会减低血液中的含酒量","正确答案是“喝酒后,呼吸新鲜空气,喝咖啡或进食会减低血液中的含酒量”。酒精和药物会影响判断、反应和视力，相关法规处罚很重。",NY DMV Driver’s Manual（知识点参考）,easy,alcohol-drugs
125,alcohol-drugs,饮酒后喝咖啡?,,增加血液含酒量,对血液含酒量无影响,减少血液含酒量,解除酒精的影响力,1,对血液含酒量无影响,正确答案是“对血液含酒量无影响”。酒精和药物会影响判断、反应和视力，相关法规处罚很重。,NY DMV Driver’s Manual（知识点参考）,easy,alcohol-drugs
126,alcohol-drugs,"在纽约州,血液含酒量多少视为“醉”?",,0.05%,0.08%,0.30%,0.20%,1,0.08%,正确答案是“0.08%”。酒精和药物会影响判断、反应和视力，相关法规处罚很重。,NY DMV Driver’s Manual（知识点参考）,easy,alcohol-drugs
127,alcohol-drugs,饮酒开车是?,,如果只饮少许的酒仍安全,交通安全的小问题,交通安全的最大问题,只是对饮酒驾车者有危险,2,交通安全的最大问题,正确答案是“交通安全的最大问题”。酒精和药物会影响判断、反应和视力，相关法规处罚很重。,NY DMV Driver’s Manual（知识点参考）,easy,alcohol-drugs
128,alcohol-drugs,"除酒精外,还有什么药物会影响你的驾驶能力?",,过敏药,大麻(烟叶),伤风药(凉药),以上三个皆会,3,以上三个皆会,正确答案是“以上三个皆会”。酒精和药物会影响判断、反应和视力，相关法规处罚很重。,NY DMV Driver’s Manual（知识点参考）,easy,alcohol-drugs
129,alcohol-drugs,"喝酒的同时,又吃医生开方的药会有什么反应?",,酒精会帮助药力治疗伤风,二者化合会加强酒精的反应,"没有反应,因二者不同性质",药物会减低酒精的反应,1,二者化合会加强酒精的反应,正确答案是“二者化合会加强酒精的反应”。酒精和药物会影响判断、反应和视力，相关法规处罚很重。,NY DMV Driver’s Manual（知识点参考）,easy,alcohol-drugs
130,traffic-signs-control,红灯闪烁时，驾驶员应该怎么做？,,像停车标志一样完全停车，再确认安全通过,快速通过,只减速不停车,按喇叭后通过,0,像停车标志一样完全停车，再确认安全通过,闪烁红灯通常按 STOP 处理：完全停车，观察并确认安全后再通过。,NY DMV Driver’s Manual（知识点参考）,easy,"traffic-signs-control,openaa-added"
131,traffic-signs-control,黄灯闪烁通常表示什么？,,前方必须停车,小心减速通过,可以加速通过,禁止通行,1,小心减速通过,闪烁黄灯表示警告，应减速并小心通过。,NY DMV Driver’s Manual（知识点参考）,easy,"traffic-signs-control,openaa-added"
132,right-of-way-turns,进入环岛前，驾驶员通常应该怎么做？,,进入车辆有优先权,减速并让环岛内车辆先行,必须停车三秒,从左侧逆行进入,1,减速并让环岛内车辆先行,进入环岛前应减速，让已经在环岛内的车辆先行。,NY DMV Driver’s Manual（知识点参考）,easy,"right-of-way-turns,openaa-added"
133,right-of-way-turns,在纽约市，红灯右转通常应如何判断？,,任何地方都可以右转,通常禁止，除非标志明确允许,只要没有车就能右转,只有晚上能右转,1,通常禁止，除非标志明确允许,纽约市多数路口禁止红灯右转，除非有标志允许；其它地区也必须先完全停车并确认安全。,NY DMV Driver’s Manual（知识点参考）,easy,"right-of-way-turns,openaa-added"
134,lanes-highway,变道前最重要的动作是什么？,,只看前方,打灯、看镜子并检查盲点,加速,按喇叭,1,打灯、看镜子并检查盲点,变道前应打灯、看后视镜和侧镜，并转头检查盲点。,NY DMV Driver’s Manual（知识点参考）,easy,"lanes-highway,openaa-added"
135,lanes-highway,高速公路上错过出口时，正确做法是什么？,,倒车回出口,继续到下一个出口,在路肩掉头,立即停车,1,继续到下一个出口,错过出口时应继续到下一个出口，不能倒车或掉头。,NY DMV Driver’s Manual（知识点参考）,easy,"lanes-highway,openaa-added"
136,parking,No Standing 通常表示什么？,,不能停车等待，但通常可临时上下乘客,可以长时间停车,只可装货,必须停车,0,不能停车等待，但通常可临时上下乘客,No Standing 一般不允许停车等待，但通常可临时上下乘客。,NY DMV Driver’s Manual（知识点参考）,easy,"parking,openaa-added"
137,parking,No Stopping 通常表示什么？,,只可上下客,只可装卸货,除非执法人员指示或紧急情况，不得停车,可停五分钟,2,除非执法人员指示或紧急情况，不得停车,No Stopping 比 No Parking 更严格，通常不能为上下客或装卸而停。,NY DMV Driver’s Manual（知识点参考）,easy,"parking,openaa-added"
138,special-conditions,雾天行车应使用什么灯？,,远光灯,近光灯,只用停车灯,不开灯,1,近光灯,雾天使用近光灯，远光灯会反射雾气影响视线。,NY DMV Driver’s Manual（知识点参考）,easy,"special-conditions,openaa-added"
139,special-conditions,车辆开始打滑时，通常应怎样做？,,急刹车,朝车尾滑动方向轻转方向盘并避免急刹,猛打反方向,加速,1,朝车尾滑动方向轻转方向盘并避免急刹,打滑时应保持冷静，朝车尾滑动方向修正，避免急刹和猛打方向。,NY DMV Driver’s Manual（知识点参考）,easy,"special-conditions,openaa-added"
140,sharing-road,遇到紧急车辆停在路肩时，驾驶员应怎样做？,,能安全时换道或减速避让,加速通过,靠近观看,停车拍照,0,能安全时换道或减速避让,纽约有 Move Over 相关规则，应为紧急或服务车辆减速或换道。,NY DMV Driver’s Manual（知识点参考）,easy,"sharing-road,openaa-added"
141,sharing-road,跟在摩托车后面时应怎样做？,,更近一点,保持更大跟车距离,开远光灯,并排行驶,1,保持更大跟车距离,摩托车制动和避让方式不同，应保持更大安全距离。,NY DMV Driver’s Manual（知识点参考）,easy,"sharing-road,openaa-added"
142,alcohol-drugs,酒后喝咖啡对 BAC 的影响是什么？,,立即降低 BAC,没有可靠降低 BAC 的效果,让你完全清醒可开车,只降低一半,1,没有可靠降低 BAC 的效果,咖啡可能让人感觉清醒，但不能让身体更快排除酒精。,NY DMV Driver’s Manual（知识点参考）,easy,"alcohol-drugs,openaa-added"
143,alcohol-drugs,酒精和药物同时使用会怎样？,,互相抵消,可能增强危险影响,没有影响,只影响乘客,1,可能增强危险影响,酒精与药物组合可能严重影响反应、判断和健康。,NY DMV Driver’s Manual（知识点参考）,easy,"alcohol-drugs,openaa-added"
144,license-law-crash,驾驶执照地址变更后，通常应多快通知 DMV？,,10天内,30天内,半年内,不需要,0,10天内,纽约驾驶执照地址变更通常需要在 10 天内通知 DMV。,NY DMV Driver’s Manual（知识点参考）,medium,"license-law-crash,openaa-added"
145,license-law-crash,收到交通罚单后，最不应该做什么？,,查看期限,按说明处理或申诉,完全不理会,咨询官方渠道,2,完全不理会,忽视罚单可能导致罚款增加、驾照或注册问题。,NY DMV Driver’s Manual（知识点参考）,medium,"license-law-crash,openaa-added"
146,defensive-driving,防卫驾驶的核心是什么？,,只看前方,预判他人可能犯错并保持安全空间,总是开得更快,相信别人会让你,1,预判他人可能犯错并保持安全空间,防卫驾驶要求观察四周、预判风险、保留逃生空间。,NY DMV Driver’s Manual（知识点参考）,easy,"defensive-driving,openaa-added"
147,defensive-driving,驾驶时使用手机会带来什么风险？,,提高反应速度,分散注意力，增加事故风险,只影响乘客,没有影响,1,分散注意力，增加事故风险,手机会分散视觉、手部和注意力，增加事故风险。,NY DMV Driver’s Manual（知识点参考）,easy,"defensive-driving,openaa-added"
148,traffic-signs-control,八边形红色标志几乎总是表示什么？,,停车,让路,医院,铁路,0,停车,八边形红色标志是 STOP。,NY DMV Driver’s Manual（知识点参考）,easy,"traffic-signs-control,openaa-added"
149,traffic-signs-control,倒三角形红白标志通常表示什么？,,让路,停车,医院,铁路,0,让路,倒三角形红白标志是 YIELD，让路。,NY DMV Driver’s Manual（知识点参考）,easy,"traffic-signs-control,openaa-added"
150,traffic-signs-control,黄色菱形标志通常是什么类型？,,警告标志,服务标志,停车许可,医院方向,0,警告标志,黄色菱形一般是警告标志，提醒前方危险或道路变化。,NY DMV Driver’s Manual（知识点参考）,easy,"traffic-signs-control,openaa-added"
